method,count,mean,std,median,sem
best_cot,100,7.61,1.9994696266457233,8.0,0.19994696266457232
best_io,100,7.933333333333334,1.8610545747480909,8.666666666666666,0.18610545747480908
cot,100,6.496666666666666,2.191451097437018,6.666666666666667,0.21914510974370177
io,100,6.633333333333334,2.149569946287929,6.666666666666667,0.2149569946287929
plan_only_cot,100,6.566666666666666,2.345806009911982,7.0,0.2345806009911982
plan_vote,100,6.616666666666666,2.1385117075275324,6.666666666666667,0.21385117075275323
tot,100,6.94,2.130627492760489,7.0,0.2130627492760489
tot_score_select,100,8.14,1.8502767712401282,8.666666666666666,0.18502767712401283
